iso_code,location,continent,continent_code
AFG,Afghanistan,Asia,AS
ALB,Albania,Europe,EU
DZA,Algeria,Africa,AF
AND,Andorra,Europe,EU
AGO,Angola,Africa,AF
AIA,Anguilla,North America,NA
ATG,Antigua and Barbuda,North America,NA
ARG,Argentina,South America,SA
ARM,Armenia,Asia,AS
ABW,Aruba,North America,NA
AUS,Australia,Oceania,OC
AUT,Austria,Europe,EU
AZE,Azerbaijan,Asia,AS
BHS,Bahamas,North America,NA
BHR,Bahrain,Asia,AS
BGD,Bangladesh,Asia,AS
BRB,Barbados,North America,NA
BLR,Belarus,Europe,EU
BEL,Belgium,Europe,EU
BLZ,Belize,North America,NA
BEN,Benin,Africa,AF
BMU,Bermuda,North America,NA
BTN,Bhutan,Asia,AS
BOL,Bolivia,South America,SA
BES,Bonaire Sint Eustatius and Saba,North America,NA
BIH,Bosnia and Herzegovina,Europe,EU
BWA,Botswana,Africa,AF
BRA,Brazil,South America,SA
VGB,British Virgin Islands,North America,NA
BRN,Brunei,Asia,AS
BGR,Bulgaria,Europe,EU
BFA,Burkina Faso,Africa,AF
BDI,Burundi,Africa,AF
KHM,Cambodia,Asia,AS
CMR,Cameroon,Africa,AF
CAN,Canada,North America,NA
CPV,Cape Verde,Africa,AF
CYM,Cayman Islands,North America,NA
CAF,Central African Republic,Africa,AF
TCD,Chad,Africa,AF
CHL,Chile,South America,SA
CHN,China,Asia,AS
COL,Colombia,South America,SA
COM,Comoros,Africa,AF
COG,Congo,Africa,AF
COK,Cook Islands,Oceania,OC
CRI,Costa Rica,North America,NA
CIV,Cote d'Ivoire,Africa,AF
HRV,Croatia,Europe,EU
CUB,Cuba,North America,NA
CUW,Curacao,North America,NA
CYP,Cyprus,Europe,EU
CZE,Czechia,Europe,EU
COD,Democratic Republic of Congo,Africa,AF
DNK,Denmark,Europe,EU
DJI,Djibouti,Africa,AF
DMA,Dominica,North America,NA
DOM,Dominican Republic,North America,NA
ECU,Ecuador,South America,SA
EGY,Egypt,Africa,AF
SLV,El Salvador,North America,NA
OWID_ENG,England,Europe,EU
GNQ,Equatorial Guinea,Africa,AF
ERI,Eritrea,Africa,AF
EST,Estonia,Europe,EU
SWZ,Eswatini,Africa,AF
ETH,Ethiopia,Africa,AF
FRO,Faeroe Islands,Europe,EU
FLK,Falkland Islands,South America,SA
FJI,Fiji,Oceania,OC
FIN,Finland,Europe,EU
FRA,France,Europe,EU
PYF,French Polynesia,Oceania,OC
